transaction_id,customer_id,timestamp,amount,channel,merchant_category,bank,location,age_group,hour,day_of_week,month,is_weekend,is_peak_hour,tx_count_24h,amount_sum_24h,amount_mean_7d,amount_std_7d,tx_count_total,amount_mean_total,amount_std_total,channel_diversity,location_diversity,amount_vs_mean_ratio,online_channel_ratio,is_fraud,fraud_technique,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,amount_log,amount_rounded,velocity_score,merchant_risk_score,composite_risk
TXN_715B85436C8F,CUST_72B963D1,2023-12-18 08:22:00,134145.57,POS,Transport,FCMB,Lagos,40+,8,0,12,False,False,1,26254.43,131414.3,105159.87,87,205806.6976,533695.8634,6,1,0.127567775,0.816091954,1,SOCIAL_ENGINEERING,0.866025404,-0.5,0.0,1.0,-2.45e-16,1.0,11.80668829,0,0.127567775,0.440230432,0.136151298
TXN_3B1817CFCD54,CUST_548C8947,2023-11-17 16:29:00,26744.48,Mobile,Grocery,FirstBank,Lagos,40+,16,4,11,False,True,1,26744.48,180388.07,133994.3007,103,134891.4368,230757.9987,6,1,0.19826523,0.718446602,0,,-0.866025404,-0.5,-0.433883739,-0.900968868,-0.5,0.866025404,10.19412077,0,0.19826523,0.214999865,0.070844447
TXN_E1576832E81A,CUST_0795A869,2023-12-25 03:17:00,235545.05,IB,Education,Union,Lagos,40+,3,0,12,False,False,2,84454.82,79058.4475,76530.77965,90,129272.2861,173377.7538,6,1,0.287186325,0.711111111,1,ROBBERY,0.707106781,0.707106781,0.0,1.0,-2.45e-16,1.0,12.36966171,0,1.306609007,0.231290726,0.080616026
TXN_8EC53C723A66,CUST_5014B20D,2023-12-22 11:12:00,30312.28,POS,Fashion,Zenith,Lagos,40+,11,4,12,False,True,1,30312.28,430540.035,400227.755,88,241199.8816,882323.6284,6,1,0.125672343,0.715909091,0,,0.258819045,-0.965925826,-0.433883739,-0.900968868,-2.45e-16,1.0,10.31934118,0,0.125672343,0.542436434,0.166752445
TXN_7FA9F62C9A5F,CUST_3ED3B3F8,2023-12-10 19:15:00,202261.26,Mobile,Retail,Access,Lagos,30-39,19,6,12,True,False,2,667187.72,164241.115,174967.9195,89,158394.3839,220208.333,6,1,3.385281482,0.651685393,1,PIN_COMPROMISE,-0.965925826,0.258819045,-0.781831482,0.623489802,-2.45e-16,1.0,12.21732045,0,8.424332874,0.180890699,0.17267432
TXN_39C40899E794,CUST_A85C46AF,2023-12-29 15:25:00,379404.98,POS,Bill_Payment,Fidelity,Ogun,20-29,15,4,12,False,True,2,42865.22,206578.7775,298611.9418,91,104838.8541,166799.7564,6,1,0.158130609,0.659340659,1,SOCIAL_ENGINEERING,-0.707106781,-0.707106781,-0.433883739,-0.900968868,-2.45e-16,1.0,12.8463621,0,0.817727579,0.829641092,0.255271701
TXN_EF927DF2DBDE,CUST_6ABD8BA0,2023-11-06 17:42:00,42298.44,Mobile,Retail,Sterling,Lagos,20-29,17,0,11,False,False,2,152620.34,92744.63,57053.05286,118,152922.685,198776.9448,6,1,0.276598357,0.754237288,0,,-0.965925826,-0.258819045,0.0,1.0,-0.5,0.866025404,10.65252913,0,1.996032727,0.180890699,0.066557226
TXN_33B4FA320FD3,CUST_4AB0C108,2023-11-04 01:18:00,101567.86,POS,Retail,FCMB,Lagos,20-29,1,5,11,True,False,2,891947.54,445973.77,344405.91,101,161564.7527,387955.5904,6,1,0.628647212,0.702970297,0,,0.258819045,0.965925826,-0.974927912,-0.222520934,-0.5,0.866025404,11.52849227,0,11.04129465,0.180890699,0.095209215
TXN_0EA7006833BF,CUST_3D22DC83,2023-11-21 15:10:00,106306.71,POS,Medical,UBA,Lagos,40+,15,1,11,False,True,2,170707.85,225716.2667,199238.1825,113,182088.9097,516676.629,6,1,0.583814392,0.752212389,0,,-0.707106781,-0.707106781,0.781831482,0.623489802,-0.5,0.866025404,11.57409309,0,1.87498418,0.121274285,0.057646686
TXN_AD40966DBB95,CUST_4FE5044D,2023-11-21 07:57:00,977117.86,IB,Entertainment,Zenith,Lagos,20-29,7,1,11,False,False,1,317846.52,233543.765,84302.755,99,138008.8184,187428.2022,6,1,2.303071794,0.656565657,1,PIN_COMPROMISE,0.965925826,-0.258819045,0.781831482,0.623489802,-0.5,0.866025404,13.79236358,0,2.303071794,0.877424404,0.336925619
